GEOID_10,TAZ,nid,AM_P,AM_D,AM_Quartile,PM_P,PM_D,PM_Quartile,Nightlife_P,Nightlife_D,Nightlife_Q,MedIncome,p_White,p_NonWhite,p_Workers,p_Drive,p_NoDrive,p_WFH,pd_Workers,pd_Drive,pd_NoDrive,pd_WFH
6075021700,455,4b,3.9,4,2,4.9,6.1,2,3.9,5.6,2,122875,0.589,0.411,2366,1274,937,155,0.118,0.095,0.119,0.322
6075021800,94,5a,2.4,2.5,2,2.6,3.1,1,2.7,2.9,2,137969,0.795,0.205,2358,1008,1147,203,-0.022,-0.159,0.129,0.036
6075022600,559,9d,3.3,4.2,2,5.7,5.5,2,12.9,17.4,4,195000,0.7,0.3,1803,574,1102,127,0.263,-0.02,0.572,-0.092
6075022702,536,9d,8,13.1,3,12.4,15.6,3,6.4,6.9,3,176944,0.752,0.248,1607,790,693,124,-0.01,-0.019,0.045,-0.204
6075022704,540,9c,5.1,5.3,3,7.8,9.3,3,8.5,11.1,3,176667,0.797,0.203,2228,1233,845,150,-0.011,-0.082,0.182,-0.226
6075022801,188,9c,21.2,13.8,4,28.8,29.1,4,23.3,20.8,4,127143,0.573,0.427,3552,1493,1751,308,0.035,0.141,-0.068,0.251
6075022802,209,9c,13.1,14,4,14.4,13.5,3,9.9,10.2,3,80385,0.507,0.493,1202,377,756,69,0.086,-0.069,0.163,0.321
6075022803,170,9c,12.6,6.7,3,15,12.2,3,14.4,11.2,4,114583,0.647,0.353,2900,1063,1606,231,0.028,-0.079,0.12,-0.013
6075022901,141,9c,11.3,6.3,3,8.2,9.5,3,9.6,10,3,72045,0.504,0.496,2913,641,2155,117,0.023,-0.247,0.184,-0.333
6075022902,134,9c,9.8,7.3,3,5.3,6.6,2,6.2,7.7,3,131571,0.565,0.435,1612,553,937,122,-0.017,0.039,-0.026,-0.163
6075022903,135,9c,14.3,17.6,4,7.2,11,3,7.4,10.9,3,113250,0.532,0.468,2079,997,914,168,0.167,0.111,0.147,0.899
6075023001,409,10a,3.6,5.6,2,2.6,5,2,1.8,3,2,64527,0.131,0.869,2487,1449,956,82,0.045,0.003,0.117,0.025
6075023003,76,10a,0.9,1.1,1,2.5,2.5,1,2.2,1.9,1,74113,0.153,0.847,1900,1316,512,72,-0.082,-0.116,0.169,-0.49
6075023102,411,10a,1.9,1.8,1,2.8,2.7,1,2.4,2.5,2,28618,0.062,0.938,1704,1079,612,13,-0.041,-0.021,-0.058,-0.462
6075023103,443,10a,1.2,1.3,1,2.8,2.3,1,2.1,1.9,1,21415,0.095,0.905,680,425,218,37,0.033,-0.06,0.329,-0.116
6075023200,388,10a,0.9,0.6,1,1.4,1.3,1,0.9,1,1,54375,0.188,0.813,2118,1308,693,117,0.164,0.096,0.142,4.619
6075023300,907,10a,2.1,2.5,2,4.1,4.5,2,2.7,2.6,2,55600,0.173,0.827,1638,991,590,57,-0.026,-0.11,0.164,-0.079
6075023400,896,10a,1.5,1.3,1,2,1.8,1,1.4,1.3,1,40648,0.124,0.876,1616,933,620,63,0.356,0.259,0.558,0.185
6075025100,464,10a,3.5,5.4,2,4.4,5.3,2,3.6,4.3,2,148500,0.755,0.245,2265,1224,881,160,0.183,0.059,0.368,0.388
6075025200,126,9a,2.2,3.2,2,7,8.5,3,6,7.4,3,133310,0.867,0.133,3156,1636,1139,381,0.004,-0.077,0.086,0.186
6075025300,102,9a,4.7,5.1,2,5.5,4.5,2,6,5.2,2,126563,0.682,0.318,2884,1096,1610,178,-0.011,-0.004,-0.041,0.288
6075025401,88,9a,6.8,8.1,3,8.3,8.6,3,8,8.9,3,114211,0.636,0.364,2290,1250,841,199,0.332,0.532,0.062,0.786
6075025402,96,9a,1.4,1.7,1,4.8,3.8,2,4.2,3.2,2,128750,0.648,0.352,1959,1191,694,74,0.109,0.258,0.04,-0.513
6075025403,87,9a,4,5.3,2,5.6,9.3,3,4.4,8,3,74688,0.343,0.657,2608,1520,926,162,-0.021,0.114,-0.174,-0.089
6075025600,87,9a,4,5.3,2,5.6,9.3,3,4.4,8,3,74688,0.343,0.657,2608,1520,926,162,-0.021,0.114,-0.174,-0.089
6075025701,92,10a,6.2,9.2,3,6.5,9.9,3,6.3,9.4,3,95669,0.243,0.757,2748,1651,977,120,0.076,0.027,0.261,-0.297
6075025702,57,10a,4,4.9,2,4.2,5,2,4.4,4.4,2,63311,0.17,0.83,2049,1260,772,17,-0.126,-0.18,0.033,-0.705
6075025800,44,10f,3.4,4.9,2,4.9,8.3,2,4.4,7.3,3,72411,0.32,0.68,971,589,315,67,0.002,0.039,-0.097,0.259
6075025900,63,10f,1.1,1.5,1,2.2,2.1,1,1.3,1.1,1,101935,0.415,0.585,2662,1783,641,238,0.173,0.191,0.189,0.021
6075026001,50,10c,3.3,3.4,2,6.3,6,2,6.7,6,3,62656,0.347,0.653,2857,1331,1341,185,0.011,-0.053,0.004,1.114
